energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,Die With A Smile,Today's Top Hits,Die With A Smile,8/16/2024,0,0,6,251668,0.308,mainstream
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,HIT ME HARD AND SOFT,Today's Top Hits,BIRDS OF A FEATHER,5/17/2024,0.0608,1,2,210373,0.2,mainstream
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,The Secret of Us (Deluxe),Today's Top Hits,That’s So True,10/18/2024,0,1,1,166300,0.214,mainstream
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4,0.0634,81,Short n' Sweet,Today's Top Hits,Taste,8/23/2024,0,0,0,157280,0.0939,mainstream
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,APT.,Today's Top Hits,APT.,10/18/2024,0,0,0,169917,0.0283,mainstream
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4,0.0356,94,"Good Luck, Babe!",Today's Top Hits,"Good Luck, Babe!",4/5/2024,0,0,11,218424,0.0502,mainstream
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4,0.0411,88,Diet Pepsi,Today's Top Hits,Diet Pepsi,8/9/2024,0.00962,1,10,169698,0.495,mainstream
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4,0.0431,93,HIT ME HARD AND SOFT,Today's Top Hits,WILDFLOWER,5/17/2024,0.000271,0,6,261467,0.612,mainstream
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4,0.0254,71,Sailor Song,Today's Top Hits,Sailor Song,7/26/2024,8.61E-05,1,11,211979,0.686,mainstream
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4,0.0507,92,Timeless,Today's Top Hits,Timeless (with Playboi Carti),9/27/2024,2.56E-06,0,11,256000,0.0584,mainstream
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4,0.0983,85,Guess featuring Billie Eilish,Today's Top Hits,Guess featuring billie eilish,8/1/2024,0.3,1,7,145219,0.0146,mainstream
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4,0.054,88,Please Please Please,Today's Top Hits,Please Please Please,6/6/2024,0,1,9,186365,0.274,mainstream
0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,4,0.0486,79,2 hands,Today's Top Hits,2 hands,11/14/2024,0,1,1,181821,0.121,mainstream
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4,0.0273,86,A Bar Song (Tipsy),Today's Top Hits,A Bar Song (Tipsy),4/12/2024,0,1,9,171292,0.0633,mainstream
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,The Rise and Fall of a Midwest Princess,Today's Top Hits,HOT TO GO!,9/22/2023,0,1,6,184841,0.0187,mainstream
